START	rep1_1ors_01	on 2017 June 10 at 00:06:40
TIME	parts_432_to_432_interaction_energies	195.14
TIME	parts_433_to_433_interaction_energies	195.65
TIME	parts_435_to_435_interaction_energies	288.87
TIME	parts_439_to_439_interaction_energies	281.41
TIME	parts_434_to_434_interaction_energies	291.5
TIME	parts_438_to_438_interaction_energies	285.98
TIME	parts_436_to_436_interaction_energies	283.54
TIME	parts_441_to_441_interaction_energies	272.79
TIME	parts_437_to_437_interaction_energies	291.58
TIME	parts_440_to_440_interaction_energies	280.61
TIME	parts_442_to_442_interaction_energies	287.65
TIME	parts_443_to_443_interaction_energies	285.09
TIME	parts_444_to_444_interaction_energies	278.48
TIME	parts_445_to_445_interaction_energies	282.0
TIME	parts_446_to_446_interaction_energies	285.31
TIME	parts_447_to_447_interaction_energies	285.08
TIME	parts_448_to_448_interaction_energies	285.7
TIME	parts_449_to_449_interaction_energies	290.51
TIME	parts_450_to_450_interaction_energies	279.42
TIME	parts_451_to_451_interaction_energies	283.76
TIME	parts_452_to_452_interaction_energies	280.38
TIME	parts_453_to_453_interaction_energies	281.8
TIME	parts_454_to_454_interaction_energies	281.18
TIME	parts_459_to_459_interaction_energies	275.12
TIME	parts_456_to_456_interaction_energies	287.35
TIME	parts_455_to_455_interaction_energies	281.62
TIME	parts_457_to_457_interaction_energies	292.88
TIME	parts_460_to_460_interaction_energies	281.7
TIME	parts_458_to_458_interaction_energies	290.43
TIME	parts_461_to_461_interaction_energies	287.42
TIME	parts_463_to_463_interaction_energies	279.84
TIME	parts_462_to_462_interaction_energies	286.71
TIME	parts_464_to_464_interaction_energies	284.77
TIME	parts_465_to_465_interaction_energies	288.54
TIME	parts_466_to_466_interaction_energies	287.31
TIME	parts_467_to_467_interaction_energies	288.57
TIME	parts_468_to_468_interaction_energies	290.18
TIME	parts_469_to_469_interaction_energies	281.75
TIME	parts_470_to_470_interaction_energies	282.14
TIME	parts_471_to_471_interaction_energies	282.79
TIME	parts_472_to_472_interaction_energies	286.0
TIME	parts_473_to_473_interaction_energies	281.33
TIME	parts_474_to_474_interaction_energies	275.12
TIME	parts_476_to_476_interaction_energies	293.19
TIME	parts_475_to_475_interaction_energies	282.77
TIME	parts_477_to_477_interaction_energies	292.85
TIME	parts_478_to_478_interaction_energies	278.43
TIME	parts_480_to_480_interaction_energies	286.12
TIME	parts_479_to_479_interaction_energies	289.69
TIME	parts_481_to_481_interaction_energies	276.46
TIME	parts_482_to_482_interaction_energies	284.03
TIME	parts_483_to_483_interaction_energies	281.66
TIME	parts_484_to_484_interaction_energies	284.36
TIME	parts_486_to_486_interaction_energies	284.49
TIME	parts_485_to_485_interaction_energies	285.95
TIME	parts_487_to_487_interaction_energies	290.77
TIME	parts_488_to_488_interaction_energies	281.9
TIME	parts_489_to_489_interaction_energies	287.61
TIME	parts_490_to_490_interaction_energies	287.25
TIME	parts_491_to_491_interaction_energies	289.22
TIME	parts_492_to_492_interaction_energies	281.13
TIME	parts_493_to_493_interaction_energies	294.75
TIME	parts_548_to_548_interaction_energies	285.67
TIME	parts_550_to_550_interaction_energies	281.61
TIME	parts_549_to_549_interaction_energies	280.36
TIME	parts_551_to_551_interaction_energies	281.16
TIME	parts_552_to_552_interaction_energies	287.12
TIME	parts_553_to_553_interaction_energies	287.3
TIME	parts_554_to_554_interaction_energies	274.36
