START	bench_3qg6	on 2017 May 12 at 23:38:34
TIME	interaction_energies_for_MAPs_part_HCDR3_34	81.96
TIME	interaction_energies_for_MAPs_part_HCDR3_181	86.5
TIME	interaction_energies_for_MAPs_part_HCDR3_69	83.92
TIME	interaction_energies_for_MAPs_part_HV_45	194.26
TIME	interaction_energies_for_MAPs_part_HCDR3_149	86.96
TIME	interaction_energies_for_MAPs_part_HCDR3_14	83.65
TIME	interaction_energies_for_MAPs_part_HCDR3_335	90.2
TIME	interaction_energies_for_MAPs_part_HV_46	205.64
TIME	interaction_energies_for_MAPs_part_HCDR3_74	83.0
TIME	interaction_energies_for_MAPs_part_HCDR3_194	84.81
TIME	interaction_energies_for_MAPs_part_HCDR3_171	88.63
TIME	interaction_energies_for_MAPs_part_HCDR3_374	90.53
TIME	interaction_energies_for_MAPs_part_HCDR3_339	89.8
TIME	interaction_energies_for_MAPs_part_HCDR3_338	93.74
TIME	interaction_energies_for_MAPs_part_HCDR3_13	83.45
TIME	interaction_energies_for_MAPs_part_HV_93	205.32
TIME	interaction_energies_for_MAPs_part_HCDR3_167	93.78
TIME	interaction_energies_for_MAPs_part_HV_95	204.96
TIME	interaction_energies_for_MAPs_part_HV_9	207.49
TIME	interaction_energies_for_MAPs_part_HV_100	210.9
TIME	interaction_energies_for_MAPs_part_HV_94	207.13
TIME	interaction_energies_for_MAPs_part_HCDR3_83	84.51
TIME	interaction_energies_for_MAPs_part_HCDR3_1	75.63
TIME	interaction_energies_for_MAPs_part_HCDR3_164	87.02
TIME	interaction_energies_for_MAPs_part_HCDR3_166	85.7
TIME	interaction_energies_for_MAPs_part_HV_116	196.46
TIME	interaction_energies_for_MAPs_part_HCDR3_342	92.22
TIME	interaction_energies_for_MAPs_part_HCDR3_18	79.48
TIME	interaction_energies_for_MAPs_part_HCDR3_192	87.06
TIME	interaction_energies_for_MAPs_part_HCDR3_84	86.22
TIME	interaction_energies_for_MAPs_part_HCDR3_189	94.42
TIME	interaction_energies_for_MAPs_part_HCDR3_87	81.16
TIME	interaction_energies_for_MAPs_part_HCDR3_188	86.04
