START	1nsn_2017-08-24_2	on 2017 August 24 at 15:43:08
TIME	parts_414_to_414_interaction_energies	136.54
TIME	parts_416_to_416_interaction_energies	136.6
TIME	parts_417_to_417_interaction_energies	138.57
TIME	parts_418_to_418_interaction_energies	136.22
TIME	parts_419_to_419_interaction_energies	136.4
TIME	parts_420_to_420_interaction_energies	135.9
TIME	parts_433_to_433_interaction_energies	130.94
TIME	parts_432_to_432_interaction_energies	130.97
TIME	parts_431_to_431_interaction_energies	131.04
TIME	parts_422_to_422_interaction_energies	139.98
TIME	parts_429_to_429_interaction_energies	134.51
TIME	parts_430_to_430_interaction_energies	134.9
TIME	parts_423_to_423_interaction_energies	134.3
TIME	parts_424_to_424_interaction_energies	134.98
TIME	parts_426_to_426_interaction_energies	135.47
TIME	parts_425_to_425_interaction_energies	136.21
TIME	parts_427_to_427_interaction_energies	136.41
TIME	parts_428_to_428_interaction_energies	136.61
TIME	parts_440_to_440_interaction_energies	183.68
TIME	parts_439_to_439_interaction_energies	189.82
TIME	parts_435_to_435_interaction_energies	190.68
TIME	parts_436_to_436_interaction_energies	191.96
TIME	parts_438_to_438_interaction_energies	191.46
TIME	parts_446_to_446_interaction_energies	186.8
TIME	parts_437_to_437_interaction_energies	192.94
TIME	parts_445_to_445_interaction_energies	187.9
TIME	parts_441_to_441_interaction_energies	188.43
TIME	parts_443_to_443_interaction_energies	188.65
TIME	parts_434_to_434_interaction_energies	193.97
TIME	parts_444_to_444_interaction_energies	188.86
TIME	parts_442_to_442_interaction_energies	189.03
TIME	parts_454_to_454_interaction_energies	191.27
TIME	parts_453_to_453_interaction_energies	190.21
TIME	parts_455_to_455_interaction_energies	190.96
TIME	parts_452_to_452_interaction_energies	190.09
TIME	parts_447_to_447_interaction_energies	191.2
TIME	parts_449_to_449_interaction_energies	191.99
TIME	parts_448_to_448_interaction_energies	192.02
TIME	parts_451_to_451_interaction_energies	192.56
TIME	parts_450_to_450_interaction_energies	192.45
TIME	parts_456_to_456_interaction_energies	192.63
TIME	parts_460_to_460_interaction_energies	192.47
TIME	parts_461_to_461_interaction_energies	192.54
TIME	parts_457_to_457_interaction_energies	191.97
TIME	parts_459_to_459_interaction_energies	192.65
TIME	parts_458_to_458_interaction_energies	192.98
TIME	parts_463_to_463_interaction_energies	193.1
TIME	parts_462_to_462_interaction_energies	193.16
TIME	parts_465_to_465_interaction_energies	193.98
TIME	parts_464_to_464_interaction_energies	193.34
TIME	parts_542_to_542_interaction_energies	182.25
TIME	parts_477_to_477_interaction_energies	193.33
TIME	parts_486_to_486_interaction_energies	194.48
TIME	parts_533_to_533_interaction_energies	187.9
TIME	parts_487_to_487_interaction_energies	195.43
TIME	parts_535_to_535_interaction_energies	188.95
TIME	parts_534_to_534_interaction_energies	188.97
TIME	parts_495_to_495_interaction_energies	195.46
TIME	parts_496_to_496_interaction_energies	195.71
TIME	parts_499_to_499_interaction_energies	193.17
TIME	parts_472_to_472_interaction_energies	196.43
TIME	parts_473_to_473_interaction_energies	196.91
TIME	parts_470_to_470_interaction_energies	193.63
TIME	parts_501_to_501_interaction_energies	191.14
TIME	parts_471_to_471_interaction_energies	194.14
TIME	parts_500_to_500_interaction_energies	194.72
TIME	parts_478_to_478_interaction_energies	194.63
TIME	parts_469_to_469_interaction_energies	195.42
TIME	parts_468_to_468_interaction_energies	195.14
TIME	parts_536_to_536_interaction_energies	193.32
TIME	parts_480_to_480_interaction_energies	195.71
TIME	parts_544_to_544_interaction_energies	186.68
TIME	parts_481_to_481_interaction_energies	194.95
TIME	parts_545_to_545_interaction_energies	186.28
TIME	parts_466_to_466_interaction_energies	195.84
TIME	parts_512_to_512_interaction_energies	188.85
TIME	parts_484_to_484_interaction_energies	194.86
TIME	parts_479_to_479_interaction_energies	195.9
TIME	parts_513_to_513_interaction_energies	188.92
TIME	parts_543_to_543_interaction_energies	187.03
TIME	parts_474_to_474_interaction_energies	195.98
TIME	parts_515_to_515_interaction_energies	188.89
TIME	parts_475_to_475_interaction_energies	196.3
TIME	parts_557_to_557_interaction_energies	188.6
TIME	parts_546_to_546_interaction_energies	187.27
TIME	parts_482_to_482_interaction_energies	195.89
TIME	parts_467_to_467_interaction_energies	197.1
TIME	parts_483_to_483_interaction_energies	195.58
TIME	parts_485_to_485_interaction_energies	196.77
TIME	parts_547_to_547_interaction_energies	187.75
TIME	parts_516_to_516_interaction_energies	191.42
TIME	parts_518_to_518_interaction_energies	191.92
TIME	parts_517_to_517_interaction_energies	192.0
TIME	parts_555_to_555_interaction_energies	190.25
TIME	parts_514_to_514_interaction_energies	190.23
TIME	parts_558_to_558_interaction_energies	189.34
TIME	parts_556_to_556_interaction_energies	191.15
TIME	parts_529_to_529_interaction_energies	189.67
TIME	parts_548_to_548_interaction_energies	189.51
TIME	parts_554_to_554_interaction_energies	188.86
TIME	parts_562_to_562_interaction_energies	190.23
TIME	parts_498_to_498_interaction_energies	196.46
TIME	parts_537_to_537_interaction_energies	190.89
TIME	parts_559_to_559_interaction_energies	189.22
TIME	parts_476_to_476_interaction_energies	199.76
TIME	parts_560_to_560_interaction_energies	191.05
TIME	parts_511_to_511_interaction_energies	191.5
TIME	parts_510_to_510_interaction_energies	190.22
TIME	parts_553_to_553_interaction_energies	190.15
TIME	parts_561_to_561_interaction_energies	190.44
TIME	parts_525_to_525_interaction_energies	191.14
TIME	parts_538_to_538_interaction_energies	191.08
TIME	parts_551_to_551_interaction_energies	190.5
TIME	parts_531_to_531_interaction_energies	190.26
TIME	parts_528_to_528_interaction_energies	190.36
TIME	parts_540_to_540_interaction_energies	191.14
TIME	parts_530_to_530_interaction_energies	192.09
TIME	parts_550_to_550_interaction_energies	190.59
TIME	parts_549_to_549_interaction_energies	190.76
TIME	parts_527_to_527_interaction_energies	191.67
TIME	parts_491_to_491_interaction_energies	197.86
TIME	parts_532_to_532_interaction_energies	191.95
TIME	parts_508_to_508_interaction_energies	192.91
TIME	parts_489_to_489_interaction_energies	198.07
TIME	parts_490_to_490_interaction_energies	198.15
TIME	parts_539_to_539_interaction_energies	191.24
TIME	parts_488_to_488_interaction_energies	197.84
TIME	parts_552_to_552_interaction_energies	191.06
