START	bench_2g5b	on 2017 May 12 at 22:18:35
TIME	interaction_energies_for_MAPs_part_HCDR3_166	81.8
TIME	interaction_energies_for_MAPs_part_HCDR3_94	76.41
TIME	interaction_energies_for_MAPs_part_HCDR3_194	81.58
TIME	interaction_energies_for_MAPs_part_HCDR3_87	83.15
TIME	interaction_energies_for_MAPs_part_HCDR3_199	80.49
TIME	interaction_energies_for_MAPs_part_HCDR3_95	77.84
TIME	interaction_energies_for_MAPs_part_HCDR3_93	79.88
TIME	interaction_energies_for_MAPs_part_HCDR3_88	79.74
TIME	interaction_energies_for_MAPs_part_HCDR3_90	78.55
TIME	interaction_energies_for_MAPs_part_HCDR3_160	79.98
TIME	interaction_energies_for_MAPs_part_HCDR3_153	80.88
TIME	interaction_energies_for_MAPs_part_HCDR3_96	81.34
TIME	interaction_energies_for_MAPs_part_HCDR3_193	86.55
TIME	interaction_energies_for_MAPs_part_HCDR3_91	80.9
TIME	interaction_energies_for_MAPs_part_HCDR3_333	87.01
TIME	interaction_energies_for_MAPs_part_HCDR3_192	81.1
TIME	interaction_energies_for_MAPs_part_HV_49	188.36
TIME	interaction_energies_for_MAPs_part_HV_48	190.7
TIME	interaction_energies_for_MAPs_part_HCDR3_14	76.07
TIME	interaction_energies_for_MAPs_part_HCDR3_149	84.18
TIME	interaction_energies_for_MAPs_part_HCDR3_147	80.07
TIME	interaction_energies_for_MAPs_part_HCDR3_146	83.04
TIME	interaction_energies_for_MAPs_part_HV_107	192.74
TIME	interaction_energies_for_MAPs_part_HCDR3_335	85.88
TIME	interaction_energies_for_MAPs_part_HCDR3_142	80.59
TIME	interaction_energies_for_MAPs_part_HCDR3_13	75.59
TIME	interaction_energies_for_MAPs_part_HCDR3_338	86.73
TIME	interaction_energies_for_MAPs_part_HCDR3_339	82.37
TIME	interaction_energies_for_MAPs_part_HCDR3_336	87.32
TIME	interaction_energies_for_MAPs_part_HCDR3_145	81.47
TIME	interaction_energies_for_MAPs_part_HCDR3_337	85.99
TIME	interaction_energies_for_MAPs_part_HCDR3_138	80.79
TIME	interaction_energies_for_MAPs_part_HCDR3_341	88.17
TIME	interaction_energies_for_MAPs_part_HV_25	205.11
TIME	interaction_energies_for_MAPs_part_HV_15	188.44
TIME	interaction_energies_for_MAPs_part_HV_16	193.56
TIME	interaction_energies_for_MAPs_part_HV_17	190.17
TIME	interaction_energies_for_MAPs_part_HCDR3_135	78.87
TIME	interaction_energies_for_MAPs_part_HCDR3_131	78.76
TIME	interaction_energies_for_MAPs_part_HCDR3_69	75.1
TIME	interaction_energies_for_MAPs_part_HCDR3_72	79.2
TIME	interaction_energies_for_MAPs_part_HCDR3_63	76.46
TIME	interaction_energies_for_MAPs_part_HCDR3_7	73.78
TIME	interaction_energies_for_MAPs_part_HV_132	190.56
TIME	interaction_energies_for_MAPs_part_HV_131	189.52
TIME	interaction_energies_for_MAPs_part_HCDR3_81	79.11
TIME	interaction_energies_for_MAPs_part_HV_133	194.94
TIME	interaction_energies_for_MAPs_part_HCDR3_34	77.44
TIME	interaction_energies_for_MAPs_part_HCDR3_128	80.46
TIME	interaction_energies_for_MAPs_part_HV_120	194.68
TIME	interaction_energies_for_MAPs_part_HCDR3_124	76.69
TIME	interaction_energies_for_MAPs_part_HCDR3_121	79.48
TIME	interaction_energies_for_MAPs_part_HCDR3_346	86.59
TIME	interaction_energies_for_MAPs_part_HCDR3_123	81.53
TIME	interaction_energies_for_MAPs_part_HV_117	191.64
TIME	interaction_energies_for_MAPs_part_HCDR3_126	81.54
TIME	interaction_energies_for_MAPs_part_HV_116	194.09
TIME	interaction_energies_for_MAPs_part_HCDR3_352	90.46
TIME	interaction_energies_for_MAPs_part_HV_113	195.78
TIME	interaction_energies_for_MAPs_part_HV_115	196.56
TIME	interaction_energies_for_MAPs_part_HCDR3_351	88.53
TIME	interaction_energies_for_MAPs_part_HV_118	195.52
TIME	interaction_energies_for_MAPs_part_HV_10	194.01
TIME	interaction_energies_for_MAPs_part_HV_66	185.27
TIME	interaction_energies_for_MAPs_part_HJ_4	78.64
TIME	interaction_energies_for_MAPs_part_HCDR3_84	78.24
TIME	interaction_energies_for_MAPs_part_HCDR3_83	81.99
TIME	interaction_energies_for_MAPs_part_HCDR3_164	82.26
TIME	interaction_energies_for_MAPs_part_HCDR3_18	76.59
TIME	interaction_energies_for_MAPs_part_HCDR3_35	75.16
TIME	interaction_energies_for_MAPs_part_HCDR3_115	78.51
TIME	interaction_energies_for_MAPs_part_HCDR3_188	82.53
TIME	interaction_energies_for_MAPs_part_HCDR3_362	88.65
TIME	interaction_energies_for_MAPs_part_HCDR3_189	81.98
TIME	interaction_energies_for_MAPs_part_HCDR3_112	80.46
TIME	interaction_energies_for_MAPs_part_HCDR3_361	90.43
TIME	interaction_energies_for_MAPs_part_HCDR3_368	86.54
